Urdu,Roman
ماننا,mana
پھل,phal
انتظار,intzar
حصار,hisar
خرید,khareed
بنے,bne
بندہ,bnda
پچاس,pachaas
صابن,sabun
بلاکر,blacker
ثانی,saani
نوم,nom
ابراہیم,ibraheem
جذبے,jazbe
خریدا,kharida
پیارا,pyara
نيو,new
انگلیاں,ungliyan
مریضوں,marizo
بهائ,bhai
احماڈ,ahmad
١١,11
ٹرین,train
مستی,masti
ساجد,sajid
حالی,chali
داخل,dakhil
حیران,heran
وداع,wada
نکال,nikal
موت,mout
گولٹ,guilt
سوتی,soti
خواجہ,khawaja
بيت,beet
برانچ,branch
امبر,u
کا,ka
الوداع,alweda
آفاق,afaq
ينگلش,english
چ,cherry
مڈل,mdl
ناشتہ,nashta
ساری,sari
کرے,kare
دیکھنی,dekhni
زبردست,zbrdast
یا,ya
لڑکا,larka
پاپير,paper
فاروک,farooq
لکیر,lakeer
حجاب,hijab
جا,ja
نوں,nu
ماریا,maria
١٦٠,160
شہید,shaheed
سمجھنے,smjhne
کڑوا,karwa
چوہا,choha
پولیس,police
دوش,dosh
کمرا,kamra
نفیس,nafees
لاهور,lahore
نینا,naina
زرقا,zarqaw1y
کنجوسی,kanjosi
افرا,ifrah
پوروں,pooron
انکل,uncle
يگگ,egg
معصومین,masomen14labikyahussainkisi
حیرانی,haerani
روپ,rop
یاسر,yasir
ماشاء,masha
لگتی,lagti
تسکین,taskeen
موبی,mobirock
چلایا,chilaya
چاہو,chaho
لاتی,latikehti
راگ,rag
آغاز,agaz
برسوں,barson
پارو,paroo1me
انجانے,anjane
اتینڈ,attend
پہونچا,phoncha
بيس,bees
ناراض,naraz
ادھر,idhr
نیا,naya
قبول,qabool
زیا,zya
رکن,rukn
سٹيڈينٹ,student
بتا,bta
خاطر,khatir
غالب,ghalib
چوکیدار,chwkidar
بھولتا,bhoolta
سلام,salam
کچھ,kuch
ٹري,try
پکڑوں,pakron
کیاکیا,kya
ہوا,hua
جہاں,jahan
سوچا,socha
ہوے,hue
ناز,naaz
کونٹربيٹي,contribute
ڈالتا,dalta
آیندہ,ainda
حويوز,house
ڈرتی,darti
مناتے,manate
جنگ,jung
تحقیق,tehqeeq
بلاسٹ,blasts!m
دیوانگی,deewangi
سپورٹس,sportsman
اوقات,auqaat
یهی,yhi
اعتراض,aitraaz
بیولوجی,bio
هاتھ,hath
تقسیم,taqseem
ذ,zr
تے,te
کھل,khul
دو,do
کوکہا,koocha
جننے,jinne
حسدا,hasda
صحت,sehtmand
اب,ab
تھوڑی,thori
آپکے,apke
قیمتی,qeemty
بھیجے,bheje
کری,krti
سوچو,socho
نادیہ,nadia
لنک,link
زخموں,zakhamon
نادر,nadir
فرايڈ,fraud
پرنسپال,principal
ہرگز,hrgiz
پوچھیں,poche
کہ,k
ماروی,marwa
اسد,asad
چاہتا,chahta
دلو,dilo
میٹ,maiti
غذا,ghaza
برسات,barsaat
اجالا,ujaalah
پیر,peer
بکری,bakri
ہسپتال,haspatal
حکمرانوں,hukmranoon
ٹوتھ,tooth
نیلا,niala
سین,seeen
رهنا,rehna
سکتا,sakta
انکار,inkar
بکرا,bakra
پا,pa
شوق,shoq
چوتھی,chuti
چاہے,chahe
لین,line;mera
ند,nd
ہنس,hans
رو,ro
غريب,ghareeb
لیے,lye
حاکم,hakim
شمار,shumar
فرانکلی,frankly
آنے,ane
فیاض,fiaz
عندلیب,andleeb143
پاپے,papy
پکے,pake
رالف,ralf
زباں,zuban
سیدھی,sedhi
اٹھی,uthi
می,me
انٹر,interinfo
گلاں,galan
م,ma
ردر,ridr
کر,kr
آنکھ,ankh
ہٹا,hata
ابنِ,ibn
غازی,ghazee
حسینی,hussaini
مرنے,marne
جاگتی,jagti
موتی,moti
دکھے,dukhe
خمار,khumar
شاکی,shaki
موحاميڈ,mohamed
غم,gham
کان,kan
جونہی,junhi
کاشی,kashi
ربی,rabipagl
نظریں,nazren
اتنے,itne
آدھے,aadhe
وفا,wafa
تعریف,tareef
خواب,khwab
ال,ul
بکواس,bkwas
هوتے,hotay
دھرتی,dharti
خاندا,khanda
ہوسٹل,hostel
عرصے,arsay
لکھا,likha
ناسر,nasir
ہلاکو,halako
لاڈلی,ladli
الين,alien
ام,am
بارگاہ,bargah
سنوار,sanwar
جدا,juda
یار,yar
رہے,rahe
دیتی,deti
سبزی,sabzi
روکنگ,rocking
اکا,aaka
کافر,kafir
لون,lion
١,1
اتی,ate
چمکتا,chamakta
پاگل,pagal
لمبا,lamba
کھونے,khonay
قاصد,qasid
سمجهے,smjhy
بیمار,bemar
جیت,jeet
حال,hal
بهت,bht
نیوز,news
ویلکوم,welcome
پرس,price
گزرنے,guzarne
خون,khoon
ااس,aas
ویسی,wesy
ہمار,hmara
روے,roay
شر,share
ویب,web
رواں,rawan
تی,ti
فہمی,fehmi
آرم,arm
نکالے,nikalay
بسے,bs
ريڈ,read
خوشی,khushi
انٹينٹ,intent
شازی,shazi
غلاب,gulab
مانگنا,mangna
دھویا,dhoya
سجنا,sajna
کسٹ,cost
ہور,1hour
آگے,aage
الحال,filhal
علی(علیہ,ali
٧٠,70
قران,quran
گریٹ,great
الجهاد,al
بناوں,banao
الی,ali
جاتے,jate
سمارٹ,smart
انهوں,unho
پڑھے,parhay
ڈمپل,dimpledollhania
فان,faan
بهاءی,bhai
فضاؤں,fizaon
پحوٹو,photo
شیو,shio
پڑھو,parho
نمازیں,namazen
روکا,ruka
قرض,qarz
اجتماع,ijtama
بناتے,bnatay
تلوار,talwar
بڑھنے,barrhnay
چاندی,chandni
انوارڈ,inward
سوچتے,sochte
بارے,baray
پہرا,pehra
عرب,arab
مرتے,marte
پي,p
کوش,koshish
حا,ha
خطا,khata
شیر,shair
دھو,dho
سکن,skin
اتری,utri
علیکم,alaikum
ہیللو,hello
کچه,kuch
سیاست,syast
چلے,chale
ڈساسٹر,disaster
مفت,muft
میک,mic
کمرے,kamray
اکیلا,akela
مچانے,machane
آدھ,adha
ہونڈا,dhonda
لانگ,lang
بارڈی,bardigat
ابتدا,ibteda
گہرا,gahra
نکلتا,nikalta
راضی,razi
حنین,hunain
آخرت,akhrat
ہوتی,hoti
جاو,jao
پریم,premnagar
ریا,re
حدیث,hadees
سونے,sone
خارش,kharish
زید,z
نکاح,nikah
لفظوں,lafzon
شولا,shola
سلفی,salfi
ادا,ada
کوانٹٹي,quantity
کای,kai
نوری,nooriparihi
ڈسسارڈ,discard
لی,li
رحیم,rahimyarkhan
لوں,loon
غروب,ghuroob
چکوال,chakwal
هاتہ,hat
حدوں,hadon
گلسسسس,glasses
رشتوں,rishton
پہل,pehl
پڑھاتے,parhatey
الٹ,ult
اڑاتی,urraati
چال,chal
قید,qaid
غریبی,gharibai
ضیا,zia
میاں,mai
رومیوں,ro0mio
پیاس,piyas
کھیلنے,khailne
گيي,guy
کروں,kron
سومرو,soomro
کوفے,cofethanks
پارک,park
انجام,anjam
جسکا,jiska
ھونے,hone
لوہا,loha
ہائی,hi
قول,qoul
اندھیرا,andhera
جمیل,jameelin
السو,also
ہنا,hena
بدلنے,badalne
بجھے,bujhe
بنا,bna
بح,bhai
آنسوں,†ansuon
فنکار,funkar
اسود,aswad3stars
گجراتی,gujratimunde
يو,you
مررور,mirror
آرزو,aarzo
تار,taar
ممتاز,mumtaz
بولڈنگ,building
پریہ,prea
ویرانی,wearani
يمير,umair
پیار,pyar
پیشاب,pishab
ہووے,howe
لانگياج,language
پٹھان,pathan
دکھوں,dukhon
لگے,lage
نادم,nadim
پرے,pre
قہقہے,qehqahey
گلی,gali
لولی,lovly
دلایا,dilaya
حسبند,husband
ہیرا,heera
باقی,baqi
گلاب,gulab
قرآنی,qurani
ماسٹر,mastergee
دھڑکتا,dharakta
جاگنے,jagne
شانوں,shanon
لاڈلا,laadlaa
افسران,afsaraan
صندوق,sandooq
ليکن,lekin
ارادہ,irada
بتانے,btany
دیدو,dedo
وسلم,w
بہنیں,bahnen
دعوت,dawat
پرچم,percham
مارے,mary
رشتے,rishte
هنگری,hungry
بوک,book
انتخاب,intikhab
شوہر,shohar
ض,zia
چنگا,changa
تمہارا,tumhara
پکٹير,picture
نشان,nishaan
سچول,school
ڈاڈ,dad
تھیوری,theory
مانگنے,mangne
گزارنے,guzarny
مسٹ,must
تیرا,tera
ہو,ho
بھولنے,bhoolne
اسلامک,islamic
گونگے,g0onge
چینی,cheeniwo
کامی,kami
ملے,mile
مرض,marz
عرفان,irfan
يا,ya
بنانا,banana
حوپي,hope
کوڑا,kora
٤٠,40
ناه,nah
کاکا,kaka
راہوں,raahon
روم,room
دج,dj
سون,son
والا,wala
ٹوٹی,tooti
پریشان,pareshan
جمپ,jump
اسايلٹ,assault
انٹرو,intro
دیں,din
پلانے,pelane
باوجود,bawajod
لباب,lubaba
تحریر,tehreer
ٹوٹ,toot
حانڈريڈ,hundred
ڈھونڈ,dhond
جنازے,janaze
اضافہ,izafa
ہےکے,he
زهیر,zaher
موست,most
پختونخواہ,pkhtoon
فرشتے,farishte
بھاگنے,bhaagny
وقاص,waqas
زخم,zakhm
نيک,neck
ڈال,dal
طریقے,tareke
امتیاز,imtiaz
جاؤں,jaon
بولا,bola
تبديل,tabdeel
زور,zor
بہا,baha
جذبوں,jazbo
عشق,ishq
مذاق,mazaq
سلیم,slim
جوتی,joti
سوچوں,sochon
ماما,mama
میرا,mera
محسوس,mehsus
مرا,mara
ہمت,himt
ضرورت,zarurat
چلنا,chalna
دیتا,deta
چشم,chashm
لوسٹ,lost
نهیں,nhi
دعوے,daway
نبض,nabz
و,o
نہیں,nhi
کانٹے,kantay
فقیر,faqeer
مثل,misl
معافی,mafi
ہا,hahaha
سرسری,sarsari
اشارہ,ishara
ناگن,nagan
سوچ,soch
عیب,aaib
انليس,unless
چپکے,chupke
بابی,baby
ییہ,ye
وقت,waqt
مجبور,majboor
انکوري,inquiry
تمام,tamam
سے,se
سلپ,slip
توتی,toti
استاد,ustad
فضول,fazol
دکھانا,dekhana
موحسن,mohsin
گنوا,ganwa
اٹھ,uth
لگوا,lagwa
مجبوری,majbori
ٹونکل,twinkle
زنی,zani
نیوزی,newzeland
جنيد,junaid
جنوري,january
اصلیت,asliat
پھرنے,phirne
منانا,manana
سميل,smell
یاروں,yaro
ونير,owner
فيل,fail
اٹوٹ,atoot
بچاؤ,bachao
بلال,bilal
رکھے,rakhe
کلیر,clear
ہاتھوں,hathon
فاک,face
سکت,sakt
تيل,tail
جاگ,jag
لپس,lips
افسانے,afsanay
آواز,awaz
جينيڈ,junaid
ہن,hn
دوستو,dosto
ذات,zaat
سيٹ,seat
رون,iron
سمیر,sameer
سارا,sara
والده,walda
الا,ula
کيي,key
تهی,thi
کرایا,karwaya
پہچانے,pohanchane
لؤگ,log
سبھا,subha
گندا,gnda
صلاح,sulah
فرحان,farhan
ایا,aya
